"Código","Municipio","Hombres","Mujeres"," Variación 2009-2010 "
44035,"Barrachina",90,77,10
44036,"Bea",23,14,0
44037,"Beceite",318,290,-13
44038,"Belmonte de San José",66,71,-8
44039,"Bello",133,151,-1
44040,"Berge",138,136,1
44041,"Bezas",43,36,1
44042,"Blancas",98,68,7
44043,"Blesa",74,47,-2
44044,"Bordón",79,62,-1
44045,"Bronchales",274,206,-3
44046,"Bueña",35,32,-4
44047,"Burbáguena",139,157,-14
44048,"Cabra de Mora",52,36,-1
44049,"Calaceite",604,541,14
44050,"Calamocha",2.356,2.293,-127
44051,"Calanda",1.994,2.010,105
44052,"Calomarde",50,34,-8
44053,"Camañas",67,58,8
44054,"Camarena de la Sierra",93,72,-2
44055,"Camarillas",75,44,7
44056,"Caminreal",404,354,-7
44059,"Cantavieja",396,352,-10
44060,"Cañada de Benatanduz",27,15,-6
44061,"Cañada de Verich (La)",60,51,3
44062,"Cañada Vellida",30,12,-2
44063,"Cañizar del Olivar",64,45,-8
44064,"Cascante del Río",46,33,-1
44065,"Castejón de Tornos",39,31,1
44066,"Castel de Cabra",74,66,-3
44067,"Castelnou",62,58,11
44068,"Castelserás",435,396,3
44070,"Castellar (El)",42,26,-8
44071,"Castellote",420,384,-20
44074,"Cedrillas",323,300,11
44075,"Celadas",238,202,-3
44076,"Cella",1.559,1.392,-161
44077,"Cerollera (La)",67,46,-8
44080,"Codoñera (La)",211,186,6
44082,"Corbalán",54,45,4
44084,"Cortes de Aragón",36,39,-5
44085,"Cosa",38,26,-3
44086,"Cretas",318,300,-11
44087,"Crivillén",49,44,-2
44088,"Cuba (La)",27,25,-11
44089,"Cubla",35,26,6
44090,"Cucalón",61,41,-6
44092,"Cuervo (El)",57,50,-2
44093,"Cuevas de Almudén",80,53,8
44094,"Cuevas Labradas",72,69,0
44096,"Ejulve",96,102,-5
44097,"Escorihuela",93,92,-14
44099,"Escucha",579,436,12
44100,"Estercuel",147,124,4
44101,"Ferreruela de Huerva",39,35,-3
44102,"Fonfría",18,12,0
44103,"Formiche Alto",103,87,-5
44105,"Fórnoles",52,51,4
44106,"Fortanete",134,90,-13
44107,"Foz-Calanda",163,133,-23
44108,"Fresneda (La)",282,229,10
44109,"Frías de Albarracín",86,70,-7
44110,"Fuenferrada",19,18,-1
44111,"Fuentes Calientes",66,53,-1
44112,"Fuentes Claras",312,278,-73
44113,"Fuentes de Rubielos",67,60,-10
44114,"Fuentespalda",176,165,-1
44115,"Galve",85,69,10
44116,"Gargallo",65,53,16
44117,"Gea de Albarracín",222,208,-12
44118,"Ginebrosa (La)",130,99,5
44119,"Griegos",82,52,-6
44120,"Guadalaviar",130,113,-9
44121,"Gúdar",49,35,-3
44122,"Híjar",970,929,-1
44123,"Hinojosa de Jarque",83,68,-2
44124,"Hoz de la Vieja (La)",47,41,-8
44125,"Huesa del Común",58,32,-7
44126,"Iglesuela del Cid (La)",270,235,3
44127,"Jabaloyas",47,34,-8
44128,"Jarque de la Val",50,40,-9
44129,"Jatiel",27,25,-3
44130,"Jorcas",26,17,1
44131,"Josa",19,15,5
44132,"Lagueruela",31,31,-4
44133,"Lanzuela",16,9,-3
44135,"Libros",85,68,5
44136,"Lidón",28,29,-6
44137,"Linares de Mora",186,127,-15
44138,"Loscos",102,75,1
44141,"Lledó",92,78,-5
44142,"Maicas",22,20,5
44143,"Manzanera",304,247,-10
44144,"Martín del Río",248,221,2
44145,"Mas de las Matas",731,684,-21
44146,"Mata de los Olmos (La)",148,141,18
44147,"Mazaleón",316,270,-2
44148,"Mezquita de Jarque",70,50,-4
44149,"Mirambel",69,56,-7
44150,"Miravete de la Sierra",22,16,-4
44151,"Molinos",169,134,-9
44152,"Monforte de Moyuela",46,23,-11
44153,"Monreal del Campo",1.377,1.388,21
44154,"Monroyo",230,149,-16
44155,"Montalbán",731,677,-40
44156,"Monteagudo del Castillo",43,28,-9
44157,"Monterde de Albarracín",40,29,-4
44158,"Mora de Rubielos",877,829,-50
44159,"Moscardón",35,36,8
44160,"Mosqueruela",323,285,-17
44161,"Muniesa",348,321,-15
44163,"Noguera de Albarracín",67,67,-8
44164,"Nogueras",28,7,1
44165,"Nogueruelas",132,105,-12
44167,"Obón",20,16,-6
44168,"Odón",105,115,-1
44169,"Ojos Negros",265,224,-21
44171,"Olba",129,108,6
44172,"Oliete",254,225,-7
44173,"Olmos (Los)",68,60,-8
44174,"Orihuela del Tremedal",296,268,2
44175,"Orrios",83,76,-9
44176,"Palomar de Arroyos",113,85,-10
44177,"Pancrudo",82,54,26
44178,"Parras de Castellote (Las)",36,37,0
44179,"Peñarroya de Tastavins",277,240,-15
44180,"Peracense",52,37,-4
44181,"Peralejos",39,39,-1
44182,"Perales del Alfambra",148,131,1
44183,"Pitarque",43,53,1
44184,"Plou",28,15,-4
44185,"Pobo (El)",86,53,6
44187,"Portellada (La)",135,127,0
44189,"Pozondón",40,43,0
44190,"Pozuel del Campo",50,50,-1
44191,"Puebla de Híjar (La)",517,489,-18
44192,"Puebla de Valverde (La)",322,249,2
44193,"Puertomingalvo",124,83,-21
44194,"Ráfales",88,82,10
44195,"Rillo",61,52,13
44196,"Riodeva",86,94,-19
44197,"Ródenas",45,34,8
44198,"Royuela",133,115,8
44199,"Rubiales",35,22,1
44200,"Rubielos de la Cérida",23,22,-1
44201,"Rubielos de Mora",390,382,-8
44203,"Salcedillo",6,2,-2
44204,"Saldón",21,8,0
44205,"Samper de Calanda",465,460,-3
44206,"San Agustín",95,55,-4
44207,"San Martín del Río",102,97,-5
44208,"Santa Cruz de Nogueras",21,15,5
44209,"Santa Eulalia",568,584,-33
44210,"Sarrión",630,510,-15
44211,"Segura de los Baños",27,13,0
44212,"Seno",26,23,2
44213,"Singra",54,44,3
44215,"Terriente",107,79,-1
44216,"Teruel",17.133,18.108,-155
44217,"Toril y Masegoso",24,10,-2
44218,"Tormón",17,15,-1
44219,"Tornos",126,106,-2
44220,"Torralba de los Sisones",120,96,-12
44221,"Torrecilla de Alcañiz",233,207,5
44222,"Torrecilla del Rebollar",82,69,0
44223,"Torre de Arcas",49,47,-9
44224,"Torre de las Arcas",18,19,-2
44225,"Torre del Compte",83,70,-5
44226,"Torrelacárcel",118,105,-8
44227,"Torre los Negros",54,51,10
44228,"Torremocha de Jiloca",83,65,5
44229,"Torres de Albarracín",98,77,14
44230,"Torrevelilla",109,105,20
44231,"Torrijas",29,37,4
44232,"Torrijo del Campo",288,251,-27
44234,"Tramacastiel",56,42,-2
44235,"Tramacastilla",53,54,-6
44236,"Tronchón",58,48,-4
44237,"Urrea de Gaén",265,260,-5
44238,"Utrillas",1.706,1.603,-79
44239,"Valacloche",16,14,-3
44240,"Valbona",123,101,-4
44241,"Valdealgorfa",332,353,18
44243,"Valdecuenca",39,17,2
44244,"Valdelinares",67,49,10
44245,"Valdeltormo",169,159,-1
44246,"Valderrobres",1.196,1.094,5
44247,"Valjunquera",209,194,-14
44249,"Vallecillo (El)",29,18,2
44250,"Veguillas de la Sierra",17,11,1
44251,"Villafranca del Campo",181,171,-9
44252,"Villahermosa del Campo",59,40,1
44256,"Villanueva del Rebollar de la Sierra",30,23,5
44257,"Villar del Cobo",114,94,-9
44258,"Villar del Salz",48,35,-2
44260,"Villarluengo",110,78,-3
44261,"Villarquemado",496,444,-28
44262,"Villarroya de los Pinares",98,79,-13
44263,"Villastar",232,218,23
44264,"Villel",207,159,-16
44265,"Vinaceite",168,146,-16
44266,"Visiedo",65,84,-5
44267,"Vivel del Río Martín",46,40,-5
44268,"Zoma (La)",9,13,0
50001,"Abanto",65,59,-1
50002,"Acered",85,75,-9
50003,"Agón",89,77,-4
50004,"Aguarón",457,406,-33
50005,"Aguilón",131,119,-6
50006,"Ainzón",651,618,-8
50007,"Aladrén",40,22,2
50008,"Alagón",3.635,3.543,-17
50009,"Alarba",86,69,-1
50010,"Alberite de San Juan",59,42,-1
50011,"Albeta",69,72,4
50012,"Alborge",65,61,2
50013,"Alcalá de Ebro",127,149,-14
50014,"Alcalá de Moncayo",89,64,-2
50015,"Alconchel de Ariza",56,43,-7
50016,"Aldehuela de Liestos",29,19,-5
50017,"Alfajarín",1.108,1.060,115
50018,"Alfamén",814,695,-4
50019,"Alforque",44,37,-6
50020,"Alhama de Aragón",604,568,-53
50021,"Almochuel",14,12,-3
50022,"Almolda (La)",319,300,-12
50023,"Almonacid de la Cuba",147,136,-6
50024,"Almonacid de la Sierra",429,361,-25
50025,"Almunia de Doña Godina (La)",4.059,3.743,-109
50026,"Alpartir",296,268,4
50027,"Ambel",150,155,-6
50028,"Anento",79,57,1
50029,"Aniñón",447,371,-11
50030,"Añón de Moncayo",123,82,-15
50031,"Aranda de Moncayo",122,92,-9
50032,"Arándiga",208,198,-1
50033,"Ardisa",50,30,0
50034,"Ariza",654,625,12
50035,"Artieda",55,39,-6
50036,"Asín",54,50,-4
50037,"Atea",72,53,-5
50038,"Ateca",1.107,1.044,38
50039,"Azuara",390,311,-9
50040,"Badules",50,45,-5
50041,"Bagüés",13,10,-5
50042,"Balconchán",5,7,1
50043,"Bárboles",189,144,-19
50044,"Bardallur",161,166,11
50045,"Belchite",858,807,-6
50046,"Belmonte de Gracián",132,104,21
50047,"Berdejo",38,26,0
50048,"Berrueco",21,22,3
50050,"Bijuesca",74,39,-1
50051,"Biota",574,541,-16
50052,"Bisimbre",57,52,0
50053,"Boquiñeni",498,497,-30
50054,"Bordalba",44,30,-5
50055,"Borja",2.583,2.459,12
50056,"Botorrita",289,247,-4
50057,"Brea de Aragón",922,932,-43
50058,"Bubierca",44,39,1
50059,"Bujaraloz",548,507,7
50060,"Bulbuente",126,122,-17
50061,"Bureta",138,131,-10
50062,"Burgo de Ebro (El)",1.224,1.097,23
50063,"Buste (El)",45,43,-2
50064,"Cabañas de Ebro",298,258,-2
50065,"Cabolafuente",25,24,0
50066,"Cadrete",1.594,1.460,277
